68,0.333333333,19.99999998,2.31," Naturally infected pig liver, homogenised with added ""spices"", nitrite salt (2%, containing 99.4% NaCl and 0.5% NaNO2 E250), dextrose (0.5%) and sodium caseinate (2%)",Genotype 3 subtype 3e; genome equivalents measured by RT-PCR,8,Liver,FALSE,NA,,KEEP
71,0.083333333,4.99999998,2.93," Naturally infected pig liver, homogenised with added ""spices"", nitrite salt (2%, containing 99.4% NaCl and 0.5% NaNO2 E250), dextrose (0.5%) and sodium caseinate (2%)",Genotype 3 subtype 3e; genome equivalents measured by RT-PCR,8,Liver,FALSE,NA,,KEEP
71,0.166666667,10.00000002,2.58," Naturally infected pig liver, homogenised with added ""spices"", nitrite salt (2%, containing 99.4% NaCl and 0.5% NaNO2 E250), dextrose (0.5%) and sodium caseinate (2%)",Genotype 3 subtype 3e; genome equivalents measured by RT-PCR,8,Liver,FALSE,NA,,KEEP
71,0.333333333,19.99999998,2.69," Naturally infected pig liver, homogenised with added ""spices"", nitrite salt (2%, containing 99.4% NaCl and 0.5% NaNO2 E250), dextrose (0.5%) and sodium caseinate (2%)",Genotype 3 subtype 3e; genome equivalents measured by RT-PCR,8,Liver,FALSE,NA,,KEEP
56,0.25,15,1,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,KEEP
56,0.5,30,4,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,KEEP
56,1,60,3,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,KEEP
60,1,60,3.22,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,KEEP
70,0.016666667,1.00000002,0.48,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,KEEP
75,0.016666667,1.00000002,0.72,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,KEEP
80,0.016666667,1.00000002,2.47,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,EXCLUDE
85,0.016666667,1.00000002,2.58,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,EXCLUDE
90,0.016666667,1.00000002,3.58,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,EXCLUDE
95,0.016666667,1.00000002,3.67,"Naturally infected wild boar liver, in PBS pH7.4",Genotype 3i; genome equivalents measured using a capsid integrity / RT-PCR assay,8.76,Liver,FALSE,NA,,EXCLUDE
60,0.25,15,1,"PBS containing 2 M NaNO3, 1% beef extract, and 0.1% Triton X-100",Genotype 3f; genome equivalents measured by a capsid integrity / RT-PCR assay,6.7,Cell,FALSE,NA,,KEEP
72,0.25,15,2,"PBS containing 2 M NaNO3, 1% beef extract, and 0.1% Triton X-100",Genotype 3f; genome equivalents measured by a capsid integrity / RT-PCR assay,6.7,Cell,FALSE,NA,,KEEP
95,0.25,15,2,"PBS containing 2 M NaNO3, 1% beef extract, and 0.1% Triton X-100",Genotype 3f; genome equivalents measured by a capsid integrity / RT-PCR assay,6.7,Cell,FALSE,NA,,KEEP
58,1,60,3.7,PBS pH7.5,Isolate from pigs liver (genotype not stated); infectivity assayed by calculation of the 50 % tissue culture infectious dose (TCID50),4.5,Liver,FALSE,NA,,KEEP
58,3,180,3.1,12.5% human serum albumin,Isolate from pigs liver (genotype not stated); infectivity assayed by calculation of the 50 % tissue culture infectious dose (TCID50),4.5,Liver,FALSE,NA,,KEEP
60,0.5,30,2.7,PBS,Genotype 3 strain JPa; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,3.8,Cell,FALSE,NA,,KEEP
60,5,300,2,PBS + 25% fetal bovine serum,Genotype 3 strain JPa; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,3.8,Cell,FALSE,NA,,KEEP
60,0.5,30,3.7,PBS,Genotype 3 strain SP; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,5,Cell,FALSE,NA,,KEEP
60,5,300,2,PBS + 25% fetal bovine serum,Genotype 3 strain SP; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,5,Cell,FALSE,NA,,KEEP
60,0.5,30,3.7,PBS,Genotype 3 strain US; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.8,Cell,FALSE,NA,,KEEP
60,5,300,1,PBS + 25% fetal bovine serum,Genotype 3 strain US; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.8,Cell,FALSE,NA,,KEEP
60,0.5,30,2.4,PBS,Genotype 4 strain JP; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,3.5,Cell,FALSE,NA,,EXCLUDE
60,5,300,2.2,PBS + 25% fetal bovine serum,Genotype 4 strain JP; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,3.5,Cell,FALSE,NA,,EXCLUDE
60,10,600,3.1,PBS + 5% albumin,Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.72,Cell,FALSE,NA,,KEEP
60,10,600,2.8,PBS + 25% albumin,Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.72,Cell,FALSE,NA,,KEEP
60,10,600,2.9,haptoglobin (commercial preparation),Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,5.07,Cell,FALSE,NA,,KEEP
60,10,600,3.2,antithrombin (commercial preparation),Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.42,Cell,FALSE,NA,,KEEP
60,10,600,2.4,5% venoglobulin (commercial preparation),Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.87,Cell,FALSE,NA,,KEEP
37,168,10080,1,soil,Mixed Genotype 3 subtype a and genotye 1; genome equivalents measured by RT-PCR,7.81,Soil,FALSE,NA,,EXCLUDE
37,336,20160,1.02,soil,Mixed Genotype 3 subtype a and genotye 1; genome equivalents measured by RT-PCR,7.81,Soil,FALSE,NA,,EXCLUDE
37,504,30240,2.48,soil,Mixed Genotype 3 subtype a and genotye 1; genome equivalents measured by RT-PCR,7.81,Soil,FALSE,NA,,EXCLUDE
37,672,40320,2.55,soil,Mixed Genotype 3 subtype a and genotye 1; genome equivalents measured by RT-PCR,7.81,Soil,FALSE,NA,,EXCLUDE
37,840,50400,2.95,soil,Mixed Genotype 3 subtype a and genotye 1; genome equivalents measured by RT-PCR,7.81,Soil,FALSE,NA,,EXCLUDE
37,1008,60480,3.2,soil,Mixed Genotype 3 subtype a and genotye 1; genome equivalents measured by RT-PCR,7.81,Soil,FALSE,NA,,EXCLUDE
37,1176,70560,3.96,soil,Mixed Genotype 3 subtype a and genotye 1; genome equivalents measured by RT-PCR,7.81,Soil,FALSE,NA,,EXCLUDE
37,1344,80640,4.09,soil,Mixed Genotype 3 subtype a and genotye 1; genome equivalents measured by RT-PCR,7.81,Soil,FALSE,NA,,EXCLUDE
37,1512,90720,4.22,soil,Mixed Genotype 3 subtype a and genotye 1; genome equivalents measured by RT-PCR,7.81,Soil,FALSE,NA,,EXCLUDE
37,1680,100800,4.29,soil,Mixed Genotype 3 subtype a and genotye 1; genome equivalents measured by RT-PCR,7.81,Soil,FALSE,NA,,EXCLUDE
60,0.5,30,0.3,PBS + 5% albumin,Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.72,Cell,FALSE,NA,,KEEP
60,0.5,30,0.7,PBS + 25% albumin,Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.72,Cell,FALSE,NA,,KEEP
60,0.5,30,0.6,haptoglobin (commercial preparation),Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,5.07,Cell,FALSE,NA,,KEEP
60,0.5,30,1,antithrombin (commercial preparation),Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.42,Cell,FALSE,NA,,KEEP
60,0.5,30,1.7,5% venoglobulin (commercial preparation),Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.87,Cell,FALSE,NA,,KEEP
60,1,60,0.5,PBS + 5% albumin,Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.72,Cell,FALSE,NA,,KEEP
60,1,60,0.5,PBS + 25% albumin,Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.72,Cell,FALSE,NA,,KEEP
60,1,60,1.2,haptoglobin (commercial preparation),Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,5.07,Cell,FALSE,NA,,KEEP
60,1,60,1.2,antithrombin (commercial preparation),Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.42,Cell,FALSE,NA,,KEEP
60,1,60,1.9,5% venoglobulin (commercial preparation),Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.87,Cell,FALSE,NA,,KEEP
60,5,300,1.6,PBS + 5% albumin,Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.72,Cell,FALSE,NA,,KEEP
60,5,300,1.5,PBS + 25% albumin,Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.72,Cell,FALSE,NA,,KEEP
60,5,300,2.7,haptoglobin (commercial preparation),Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,5.07,Cell,FALSE,NA,,KEEP
60,5,300,1.2,antithrombin (commercial preparation),Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.42,Cell,FALSE,NA,,KEEP
60,5,300,1.9,5% venoglobulin (commercial preparation),Gentotype 3b; infectivity measured by titration of suspension followed by cell culture / RT-PCR end-point detection,4.87,Cell,FALSE,NA,,KEEP
45,1,60,1,PBS pH7.4,"Genotype 1 strain ""Akluj""; fecal suspension from patient",2.31,Faecal,FALSE,NA,,EXCLUDE
50,1,60,1,PBS pH7.5,"Genotype 1 strain ""Akluj""; fecal suspension from patient",2.31,Faecal,FALSE,NA,,EXCLUDE
56,0.25,15,1.27,PBS pH7.6,"Genotype 1 strain ""Akluj""; fecal suspension from patient",2.31,Faecal,FALSE,NA,,EXCLUDE
56,0.5,30,1.83,PBS pH7.7,"Genotype 1 strain ""Akluj""; fecal suspension from patient",2.31,Faecal,FALSE,NA,,EXCLUDE
56,1,60,1.83,PBS pH7.8,"Genotype 1 strain ""Akluj""; fecal suspension from patient",2.31,Faecal,FALSE,NA,,EXCLUDE
56,1,60,1,PBS pH7.9,"Genotype 1 strain ""Sar55""; fecal suspension from patient",1.67,Faecal,FALSE,NA,,EXCLUDE
60,1,60,1.4,PBS pH7.10,"Genotype 1 strain ""Sar55""; fecal suspension from patient",1.67,Faecal,FALSE,NA,,EXCLUDE
56,1,60,0,PBS pH7.11,"Genotype 2 strain ""Mex 14""; fecal suspension from experimentally infected primate",3.38,Faecal,FALSE,NA,,EXCLUDE
60,1,60,1,PBS pH7.12,"Genotype 2 strain ""Mex 14""; fecal suspension from experimentally infected primate",3.38,Faecal,FALSE,NA,,EXCLUDE
22,0.033333333,1.99999998,0,Human virus diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.789933081,Serum,TRUE,DATASET0,,KEEP
65,0.166666667,10.00000002,0.207074619,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.789933081,Serum,TRUE,DATASET0,,KEEP
70,0.033333333,1.99999998,0.172722986,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.789933081,Serum,TRUE,DATASET0,,KEEP
75,0.014444444,0.86666664,0.13691363,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.789933081,Serum,TRUE,DATASET0,,KEEP
75,0.033333333,1.99999998,0.172722986,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.789933081,Serum,TRUE,DATASET0,,KEEP
22,0.033333333,1.99999998,0,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.600864036,Serum,TRUE,DATASET0,,KEEP
65,0.166666667,10.00000002,0.181900206,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.600864036,Serum,TRUE,DATASET0,,KEEP
70,0.033333333,1.99999998,0.389209636,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.600864036,Serum,TRUE,DATASET0,,KEEP
75,0.014444444,0.86666664,0.181569315,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.600864036,Serum,TRUE,DATASET0,,KEEP
22,0.033333333,1.99999998,0,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.605305046,Serum,TRUE,DATASET0,,KEEP
65,0.166666667,10.00000002,0.097314321,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.605305046,Serum,TRUE,DATASET0,,KEEP
70,0.033333333,1.99999998,0.160479847,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.605305046,Serum,TRUE,DATASET0,,KEEP
75,0.014444444,0.86666664,0.147725899,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.605305046,Serum,TRUE,DATASET0,,KEEP
22,0.041666667,2.50000002,0,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.481729197,Serum,TRUE,DATASET0,,KEEP
75,0.041666667,2.50000002,0.303327855,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.481729197,Serum,TRUE,DATASET0,,KEEP
80,0.041666667,2.50000002,0.169975336,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.481729197,Serum,TRUE,DATASET0,,KEEP
85,0.041666667,2.50000002,0.500817259,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.481729197,Serum,TRUE,DATASET0,,KEEP
100,0.166666667,10.00000002,4,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.481729197,Serum,TRUE,DATASET0,,KEEP
22,0.083333333,4.99999998,0,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.481729197,Serum,TRUE,DATASET0,,KEEP
75,0.083333333,4.99999998,0.437189437,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.481729197,Serum,TRUE,DATASET0,,KEEP
80,0.083333333,4.99999998,0.253842492,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.481729197,Serum,TRUE,DATASET0,,KEEP
85,0.083333333,4.99999998,0.199787264,Human serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,3.481729197,Serum,TRUE,DATASET0,,KEEP
75,0,0,0.03,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,1,KEEP
75,0.033333333,2,0.1,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,1,KEEP
75,0.066666667,4,0.02,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,1,KEEP
75,0.1,6,0.17,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,1,KEEP
75,0.133333333,8,0.2,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,1,KEEP
75,0.166666667,10,0.08,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,1,KEEP
75,0,0,0.3,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,2,KEEP
75,0.033333333,2,0.04,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,2,KEEP
75,0.066666667,4,0.1,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,2,KEEP
75,0.1,6,0.16,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,2,KEEP
75,0.133333333,8,0.07,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,2,KEEP
75,0.166666667,10,-0.08,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,2,KEEP
80,0,0,0.11,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,3,KEEP
80,0.033333333,2,0.06,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,3,KEEP
80,0.066666667,4,0.12,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,3,KEEP
80,0.1,6,0.12,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,3,KEEP
80,0.133333333,8,0.11,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,3,KEEP
80,0.166666667,10,0,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,3,KEEP
80,0,0,0.1,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,4,KEEP
80,0.033333333,2,0.01,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,4,KEEP
80,0.066666667,4,0.41,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,4,KEEP
80,0.1,6,0.05,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,4,KEEP
80,0.133333333,8,0.05,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,4,KEEP
80,0.166666667,10,0.05,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,4,KEEP
100,0,0,0.13,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,5,KEEP
100,0.033333333,2,0.13,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,5,KEEP
100,0.066666667,4,0.15,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,5,KEEP
100,0.1,6,0.08,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,5,KEEP
100,0.133333333,8,0.32,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,5,KEEP
100,0.166666667,10,0.67,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET1,5,KEEP
70,0,0,-0.014123354,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET2,6,KEEP
70,0.033333333,2,0.058636656,Human virus derived from serum diluted in PBS ph7.4,Genotype 3 WHO standard serum,4.176091259,Serum,TRUE,DATASET2,6,KEEP
